地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
中上林地区（寺町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（日置谷）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（殿）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
口上林地区,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
山家地区（旭町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
山家地区（東山町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
山家地区（鷹栖町）奈留,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
山家地区（鷹栖町）長瀬,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
山家地区（鷹栖町）奈留・長瀬以外,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（西原町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
山家地区（戸奈瀬町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（釜輪町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（広瀬町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
