地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
東八田（門）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（久保）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（施福寺）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（小鳩）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（黒谷）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（八代）,（火・金コース）：クリーンセンターＢ,火 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（鳥居野）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
東八田（野瀬）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
東八田（下村）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
東八田（中川原）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
東八田（大又）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
東八田（見内）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
豊里（上位田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（中位田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（下位田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（旭ヶ丘）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（栗上）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（栗橋）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（栗揚）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
豊里（栗町）大谷・大野以外,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（豊里）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（小西）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（石原）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（小貝）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（湯殿）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（私市東）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（私市）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
豊里（舘）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
豊里（今田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
豊里（高谷）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
豊里（岡倉）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
豊里（大畠）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
豊里（鍛冶屋）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
豊里（小畑）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
豊里（大谷）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
豊里（大野）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
物部（上市）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
物部（岸田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
物部（西坂町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
物部（白道路）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
物部（下市）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
物部（須波伎）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
物部（新庄）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
志賀郷地区,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,,,,,,
